Type,Length,Name,Comparisons,Swaps,Time
Bubble Sort,1000,Bubble Sort,499500,0,7823
Selection Sort,1000,Selection Sort,499500,0,8292
Bubble Sort,10000,Bubble Sort,49995000,0,640240
Selection Sort,10000,Selection Sort,49995000,0,568966
Bubble Sort,1000,Bubble Sort,499500,246536,14656
Selection Sort,1000,Selection Sort,499500,990,6719
Bubble Sort,10000,Bubble Sort,49995000,24726559,1337483
Selection Sort,10000,Selection Sort,49995000,9991,559876
Bubble Sort,1000,Bubble Sort,499500,499500,17020
Selection Sort,1000,Selection Sort,499500,500,5722
Bubble Sort,10000,Bubble Sort,49995000,49995000,1610770
Selection Sort,10000,Selection Sort,49995000,5000,595392
