Length,Comparisons,Swaps,Time
5,10,7,0
10,42,19,0
15,102,54,1
20,180,88,1
25,255,112,2
30,435,217,4
35,574,275,4
40,735,287,5
45,962,509,8
50,1159,538,9
55,1475,801,11
60,1760,769,13
65,2059,973,15
70,2387,1249,17
75,2739,1358,20
80,3132,1527,23
85,3560,1515,25
90,3939,1879,28
95,4059,2022,29
100,4884,2478,35
1000,497547,249796,3368
2000,1994995,963908,12752
3000,4495179,2180096,28914
4000,7991330,3948092,50401
5000,12482965,6279924,78924
6000,17985372,9052062,114841
7000,24480390,12063933,153499
8000,31987999,15975634,205059
9000,40451247,19865932,256750
10000,49987860,24551213,323069
