Length,Comparisons,Swaps,Time
5,11,11,0
10,28,28,0
15,68,68,0
20,107,107,0
25,136,136,1
30,246,246,1
35,309,309,2
40,326,326,2
45,553,553,3
50,587,587,3
55,855,855,4
60,828,828,4
65,1037,1037,5
70,1318,1318,7
75,1432,1432,7
80,1606,1606,8
85,1599,1599,8
90,1968,1968,10
95,2116,2116,11
100,2577,2577,13
1000,250795,250795,1228
2000,965907,965907,4941
3000,2183095,2183095,10958
4000,3952091,3952091,19855
5000,6284923,6284923,31170
6000,9058061,9058061,44221
7000,12070932,12070932,59894
8000,15983633,15983633,79559
9000,19874931,19874931,98780
10000,24561212,24561212,122157
