Length,Comparisons,Swaps,Time
5,14,24,1
10,34,68,3
15,57,118,3
20,79,176,5
25,103,236,6
30,130,296,7
35,154,362,8
40,179,432,9
45,204,502,11
50,232,572,12
55,260,642,13
60,291,712,14
65,322,784,20
70,344,864,17
75,369,944,18
80,399,1024,18
85,424,1104,21
90,454,1184,22
95,487,1264,22
100,515,1344,24
1000,6931,19952,273
2000,14863,43904,857
3000,22827,69808,851
4000,31727,95808,1380
5000,39803,123616,1455
6000,48655,151616,1791
7000,57627,179616,2069
8000,67455,207616,2376
9000,75819,237232,2982
10000,84607,267232,3075
