Length,Comparisons,Swaps,Time
5,16,24,2
10,38,68,2
15,60,118,3
20,87,176,4
25,113,236,6
30,136,296,7
35,165,362,8
40,195,432,9
45,225,502,11
50,252,572,12
55,279,642,13
60,303,712,14
65,328,784,16
70,366,864,17
75,401,944,59
80,431,1024,19
85,466,1104,21
90,496,1184,21
95,523,1264,22
100,555,1344,24
1000,7043,19952,360
2000,15087,43904,564
3000,24075,69808,863
4000,32175,95808,1338
5000,42003,123616,1656
6000,51151,151616,1759
7000,60179,179616,2059
8000,68351,207616,2359
9000,78795,237232,2724
10000,89007,267232,3186
