Length,Comparisons,Swaps,Time
5,10,8,0
10,45,29,0
15,105,63,0
20,190,109,1
25,300,168,1
30,435,239,2
35,595,323,3
40,780,419,4
45,990,528,5
50,1225,649,7
55,1485,783,8
60,1770,929,10
65,2080,1088,14
70,2415,1259,14
75,2775,1443,15
80,3160,1639,17
85,3570,1848,19
90,4005,2069,21
95,4465,2303,24
100,4950,2549,26
1000,499500,250499,2727
2000,1999000,1000999,10440
3000,4498500,2251499,23459
4000,7998000,4001999,42471
5000,12497500,6252499,65600
6000,17997000,9002999,96688
7000,24496500,12253499,127607
8000,31996000,16003999,166882
9000,40495500,20254499,213206
10000,49995000,25004999,262152
