Length,Comparisons,Swaps,Time
5,6,8,0
10,19,19,0
15,38,32,0
20,55,46,1
25,81,62,1
30,111,69,2
35,137,93,2
40,162,131,2
45,184,141,2
50,224,180,3
55,268,212,3
60,283,215,3
65,306,216,4
70,328,209,4
75,375,256,4
80,417,242,4
85,436,248,5
90,465,294,5
95,521,332,6
100,537,318,6
1000,12075,4806,96
2000,33771,9563,254
3000,65120,13757,479
4000,110464,16817,576
5000,160470,22850,845
6000,220994,25618,1089
7000,297292,33549,1430
8000,371518,38123,1779
9000,462184,38966,2084
10000,561704,48463,2636
