Length,Comparisons,Swaps,Time
5,6,8,0
10,19,19,0
15,34,31,0
20,54,46,0
25,74,62,1
30,94,75,1
35,118,91,1
40,143,110,1
45,168,132,2
50,193,148,2
55,218,163,2
60,243,178,2
65,270,196,2
70,300,214,2
75,330,235,2
80,360,258,3
85,390,280,3
90,420,305,3
95,450,335,3
100,480,345,4
1000,7987,4960,51
2000,17964,10916,114
3000,28917,17787,189
4000,39917,23828,319
5000,51822,30713,327
6000,63822,38567,415
7000,75822,44825,465
8000,87822,51652,535
9000,100631,58633,624
10000,113631,66421,713
