Length,Comparisons,Swaps,Time
5,7,7,0
10,25,22,0
15,39,29,0
20,71,36,0
25,87,65,1
30,148,109,1
35,167,102,1
40,185,104,1
45,203,151,2
50,285,166,2
55,291,182,3
60,329,241,3
65,417,232,3
70,445,311,4
75,431,278,4
80,477,338,4
85,511,284,5
90,559,388,5
95,562,315,5
100,586,364,5
1000,11527,6567,95
2000,23256,13480,202
3000,37795,23189,383
4000,51739,28054,425
5000,75512,38113,591
6000,89792,48514,722
7000,100357,54446,899
8000,123261,71990,990
9000,130925,70821,1056
10000,152188,71731,1158
