Length,Comparisons,Swaps,Time
5,7,5,0
10,20,17,0
15,43,32,0
20,64,52,0
25,85,63,1
30,172,95,1
35,136,86,1
40,209,135,2
45,218,136,2
50,242,161,2
55,322,181,3
60,364,246,3
65,424,294,4
70,378,199,3
75,497,319,4
80,463,230,4
85,530,326,5
90,533,319,5
95,533,335,5
100,596,298,5
1000,12154,4221,82
2000,37173,10648,216
3000,68923,15582,354
4000,115872,20361,635
5000,171333,32333,806
6000,238334,33474,1061
7000,298030,33635,1298
8000,380465,32896,1603
9000,488712,51900,2005
10000,571329,48376,2354
