Length,Comparisons,Swaps,Time
5,10,2,0
10,45,5,0
15,105,7,0
20,190,10,1
25,300,12,1
30,435,15,2
35,595,17,3
40,780,20,3
45,990,22,5
50,1225,25,6
55,1485,27,7
60,1770,30,8
65,2080,32,12
70,2415,35,11
75,2775,37,13
80,3160,40,14
85,3570,42,16
90,4005,45,18
95,4465,47,19
100,4950,50,22
1000,499500,500,2137
2000,1999000,1000,9168
3000,4498500,1500,19155
4000,7998000,2000,34006
5000,12497500,2500,56556
6000,17997000,3000,77508
7000,24496500,3500,103959
8000,31996000,4000,138469
9000,40495500,4500,182742
10000,49995000,5000,216586
