Length,Comparisons,Swaps,Time
5,10,3,0
10,45,9,0
15,105,12,0
20,190,16,1
25,300,21,2
30,435,25,2
35,595,33,3
40,780,37,4
45,990,42,5
50,1225,43,6
55,1485,50,8
60,1770,56,9
65,2080,60,11
70,2415,66,13
75,2775,70,14
80,3160,71,16
85,3570,78,17
90,4005,86,19
95,4465,90,21
100,4950,93,24
1000,499500,984,2142
2000,1999000,1972,8724
3000,4498500,2962,19977
4000,7998000,3958,34152
5000,12497500,4957,53386
6000,17997000,5941,78695
7000,24496500,6934,105454
8000,31996000,7907,138815
9000,40495500,8922,173265
10000,49995000,9908,213245
