Length,Comparisons,Swaps,Time
5,10,0,0
10,45,0,0
15,105,0,0
20,190,0,1
25,300,0,1
30,435,0,2
35,595,0,3
40,780,0,3
45,990,0,4
50,1225,0,5
55,1485,0,6
60,1770,0,8
65,2080,0,9
70,2415,0,10
75,2775,0,12
80,3160,0,13
85,3570,0,15
90,4005,0,17
95,4465,0,19
100,4950,0,21
1000,499500,0,2153
2000,1999000,0,8654
3000,4498500,0,20325
4000,7998000,0,33924
5000,12497500,0,52985
6000,17997000,0,77093
7000,24496500,0,104567
8000,31996000,0,134431
9000,40495500,0,172461
10000,49995000,0,213187
